id,url,headline,author,date
0,https://www.theverge.com/2023/3/30/23660187/marshall-zound-merger-acquisition-bluetooth-headphones-speakers-amps,"Marshall, the iconic amp manufacturer, is being acquired by Marshall speaker maker Zound",Jon Porter,2023-03-30
1,https://www.theverge.com/23660809/wordle-new-york-times-interview-zoe-bell-gdc-2023,How Wordle lives on at The New York Times,Shannon Liao,2023-03-29
2,https://www.theverge.com/23658631/kitchen-cooking-coffee-gadgets-favorite-tech,The Verges 13 favorite kitchen tools,Verge Staff,2023-03-29
3,https://www.theverge.com/2023/3/29/23661826/disney-fired-isaac-perlmutter-marvel,Disney just laid off the guy it bought Marvel from... but thats probably a good thing,Emma Roth,2023-03-29
4,https://www.theverge.com/2023/3/29/23661484/lamborghini-revuelto-plug-in-hybrid-aventador,Lamborghinis first plug-in hypercar is the Aventador-replacing Revuelto,Andrew J. Hawkins,2023-03-29
5,https://www.theverge.com/2023/3/29/23661352/last-of-us-part-i-pc-launch-bugs-issues,The Last of Us on PC is a rare disappointing PlayStation port at launch,Tom Warren,2023-03-29
6,https://www.theverge.com/2023/3/30/23662873/roku-layoffs-2023-200-employees,Roku is laying off another six percent of its workforce,Jon Porter,2023-03-30
7,https://www.theverge.com/2023/3/30/23662832/twitter-api-tiers-free-bot-novelty-accounts-basic-enterprice-monthly-price,"Twitter announces new API pricing, posing a challenge for small developers",Jon Porter,2023-03-30
8,https://www.theverge.com/2023/3/30/23656153/elon-musk-twitter-most-followed-barack-obama,Elon Musk is now the most-followed person on Twitter,Emma Roth,2023-03-30
9,https://www.theverge.com/2023/3/29/23662621/google-bard-chatgpt-sharegpt-training-denies,Google denies Bard was trained with ChatGPT data,Sean Hollister,2023-03-30
10,https://www.theverge.com/2023/3/29/23662548/netflix-iphone-controller-games-code-test,Netflix might let you use an iPhone to control games on your TV,Jay Peters,2023-03-30
11,https://www.theverge.com/23660625/gmail-inbox-unsubscribe-refresh-delete-reject,We need Eternal Sunshine of the Spotless Mind for Gmail,Allison Johnson,2023-03-29
12,https://www.theverge.com/2023/3/29/23662476/microsoft-bing-chatbot-ads-revenue-sharing,Microsofts Bing chatbot is getting more ads,Jay Peters,2023-03-30
13,https://www.theverge.com/2023/3/29/23662435/lenovos-legion-gaming-phones-are-no-more,Lenovos Legion gaming phones are no more.,Sean Hollister,2023-03-29
14,https://www.theverge.com/2023/3/29/23662293/fortnite-battle-royale-player-count-discover,Fortnite now shows how many people are playing Battle Royale  and every other island,Jay Peters,2023-03-29
