id,url,headline,author,date
12,https://www.theverge.com/2023/3/28/23660742/paramount-plus-star-trek-lower-decks-season-5-strange-new-worlds-3,Paramount Plus has renewed Star Trek: Lower Decks and Star Trek: Strange New Worlds,Charles Pulliam-Moore,2023-03-28
13,https://www.theverge.com/2023/3/28/23660653/google-search-results-perspectives-carousel-about-this-page-author,Google is going to show a new ‘Perspectives’ carousel in search results,Jay Peters,2023-03-28
14,https://www.theverge.com/23653141/tiktok-ban-bytedance-congress-hearing-first-amendment-open-internet,The TikTok ban is a betrayal of the open internet,Adi Robertson,2023-03-27
15,https://www.theverge.com/2023/3/28/23660744/maybe-dont-buy-the-last-of-us-on-pc-yet,Maybe don’t buy The Last of Us on PC yet?,Sean Hollister,2023-03-28
16,https://www.theverge.com/2023/3/28/23660623/adnan-syed-murder-conviction-reinstated-serial,Adnan Syed’s murder conviction has been reinstated,Emma Roth,2023-03-28
17,https://www.theverge.com/2023/3/28/23660573/npr-layoff-podcast-adnan-syed-serial-apple-update-slate-youtube-amy-poehler,NPR prioritizes radio over podcasts with steep cuts,Ariel Shapiro,2023-03-28
18,https://www.theverge.com/2023/3/28/23659267/kia-ev9-full-size-suv-pics-specs-battery-range-lidar-adas,"Kia sees an opening to dominate the full-size electric SUV segment with its big, boxy EV9",Andrew J. Hawkins,2023-03-28
19,https://www.theverge.com/2023/3/28/23660705/chatbot-is-french-for-cat-bot,Chatbot is French for “cat bot.”,Nathan Edwards,2023-03-28
20,https://www.theverge.com/2023/3/28/23660628/twitters-for-you-tab-wont-be-all-bad,Twitter’s For You tab won’t be all bad.,Jay Peters,2023-03-28
21,https://www.theverge.com/2023/3/28/23660202/starbucks-notification-test1-seank,You’re not the only one who just got a Starbucks test notification,Mitchell Clark,2023-03-28
22,https://www.theverge.com/23657335/sonos-era-300-review-spatial-audio-atmos-speaker,Sonos Era 300 review: too ahead of its time,Chris Welch,2023-03-27
23,https://www.theverge.com/23660204/nintendo-switch-oled-zelda-tears-of-the-kingdom-edition-preorder-release-date-price,Here’s where you can preorder Nintendo’s Zelda-inspired Switch OLED,Sheena Vasani,2023-03-28
24,https://www.theverge.com/2023/3/28/23660005/e-fuels-internal-combustion-engine-car-european-union-2035-climate-deadline,E-fuels could keep combustion engine cars on the road in the EU past its 2035 climate deadline,Justine Calma,2023-03-28
25,https://www.theverge.com/2023/3/28/23660427/new-x-files-series-ryan-coogler-chris-carter,There might be new X-Files from Black Panther director Ryan Coogler,Alex Cranz,2023-03-28
26,https://www.theverge.com/2023/3/28/23660289/spotify-niche-mix-personalized-playlist-music-algorithm,Spotify’s Niche Mixes spare you from building your own weirdly specific playlists,Jess Weatherbed,2023-03-28
27,https://www.theverge.com/2023/3/28/23660076/sam-bankman-fried-accused-bribe-chinese-officials-ftx,Sam Bankman-Fried accused of sending a $40 million crypto bribe to Chinese officials,Emma Roth,2023-03-28
28,https://www.theverge.com/2023/3/28/23660424/the-succession-lidar-connection-revealed,The Succession-lidar connection revealed.,Andrew J. Hawkins,2023-03-28
29,https://www.theverge.com/2023/3/28/23660291/twitter-replies-update-confusing,Tweet replies no longer show who users are replying to,Jay Peters,2023-03-28
30,https://www.theverge.com/2023/3/28/23660317/march-28th-2015-on-this-day-in-verge-history,"March 28th, 2015: on this day in Verge history.",T.C. Sottek,2023-03-28
31,https://www.theverge.com/2023/3/28/23660300/mark-your-calendars-for-ubisofts-june-12th-showcase,Mark your calendars for Ubisoft’s June 12th showcase.,Jay Peters,2023-03-28
32,https://www.theverge.com/2023/3/28/23660160/these-tesla-glasses-have-a-drinking-problem,These Tesla glasses have a drinking problem.,Allison Johnson,2023-03-28
33,https://www.theverge.com/2023/3/28/23660227/apples-pay-later-program-contradicts-its-focus-on-financial-health,Apple’s Pay Later program contradicts its focus on “financial health.”,Emma Roth,2023-03-28
34,https://www.theverge.com/2023/3/28/23660101/ai-competition-ftc-doj-lina-khan-jonathan-kanter-antitrust-summit,The US government is gearing up for an AI antitrust fight,Adi Robertson,2023-03-28
35,https://www.theverge.com/2023/3/28/23660222/baby-pods-are-in-this-summer,Baby pods are in this summer.,Andrew Webster,2023-03-28
36,https://www.theverge.com/c/23639245/tinder-car-heist-catfish-portland-oregon,Taken for a Ride,Ian Frisch,2023-03-21
37,https://www.theverge.com/2023/3/28/23660180/good-luck-out-there-zelda-fans,Good luck out there Zelda fans.,Tom Warren,2023-03-28
38,https://www.theverge.com/2023/3/28/23660138/another-hurdle-for-ai-image-generators-unicycles,Another hurdle for AI image generators: unicycles,James Vincent,2023-03-28
39,https://www.theverge.com/2023/3/28/23660085/this-is-how-you-know-youre-dealing-with-a-different-kind-of-music-app,This is how you know you’re dealing with a different kind of music app.,Chris Welch,2023-03-28
40,https://www.theverge.com/2023/3/28/23659711/microsoft-security-copilot-gpt-4-ai-tool-features,Microsoft Security Copilot is a new GPT-4 AI assistant for cybersecurity,Tom Warren,2023-03-28
41,https://www.theverge.com/2023/3/28/23659842/twitter-boost-elon-musk-dril-mrbeast-algorithm-accounts,"Twitter is secretly boosting Elon Musk, Dril, and MrBeast for some reason",Emma Roth,2023-03-28
42,https://www.theverge.com/23658650/life-by-you-interview-rod-humble-sims-gdc-2023,Life by You is trying to shake up life sims with a greater sense of freedom,Andrew Webster,2023-03-28
43,https://www.theverge.com/2023/3/28/23658228/zelda-tears-of-the-kingdom-gameplay-trailer-nintendo-switch,Here’s 10 minutes of The Legend of Zelda: Tears of the Kingdom gameplay,Ash Parrish,2023-03-28
44,https://www.theverge.com/2023/3/28/23659938/elemental-trailer-pixar-disney-release-date,"Elemental’s first trailer is a bubbling, sizzling feast for the eyes",Charles Pulliam-Moore,2023-03-28
45,https://www.theverge.com/2023/3/28/23659814/legend-of-zelda-tears-of-the-kingdom-nintendo-switch-oled,Nintendo is releasing a Zelda-themed Switch OLED for Tears of the Kingdom,Andrew Webster,2023-03-28
46,https://www.theverge.com/2023/3/28/23660623/adnan-syed-murder-conviction-reinstated-serial,Adnan Syed’s murder conviction has been reinstated,Emma Roth,2023-03-28
47,https://www.theverge.com/23658648/mastodon-ceo-twitter-interview-elon-musk-twitter,Can Mastodon seize the moment from Twitter?,Nilay Patel,2023-03-28
48,https://www.theverge.com/2023/3/24/23654906/the-vergecast-goes-to-washington,The Vergecast goes to Washington.,David Pierce,2023-03-24
49,https://www.theverge.com/23651323/new-york-times-ceo-meredith-kopit-levien-wordle-the-athletic-sports-cooking,"How to play the long game, with New York Times CEO Meredith Kopit Levien",Nilay Patel,2023-03-23
50,https://www.theverge.com/2023/3/22/23651752/today-on-the-vergecast-ipad-feelings-hiking-gear-and-the-future-of-broadcast-tv,"Today on The Vergecast: iPad feelings, hiking gear, and the future of broadcast TV.",David Pierce,2023-03-22
51,https://www.theverge.com/2023/3/27/23658863/arc-browser-iphone-ios-companion-app-mac,"Arc is coming to iPhone, but it won’t replace Safari yet, says CEO",Mitchell Clark,2023-03-27
52,https://www.theverge.com/2023/3/27/23658961/philips-hue-matter-bridge-update-delayed,Philips Hue is delaying its Matter update,Jennifer Pattison Tuohy,2023-03-27
53,https://www.theverge.com/2023/3/27/23658317/ios-16-4-new-emoji-safari-web-push-notifications-voice-isolation,"iOS 16.4 is here, and it brings new emoji like a moose and goose to your iPhone",Jay Peters,2023-03-27
54,https://www.theverge.com/2023/3/28/23660480/apple-cwa-fired-workers-allegations-unionization,Union accuses Apple of firing workers in retaliation for organizing,Mitchell Clark,2023-03-29
55,https://www.theverge.com/2022/6/8/23157184/ugly-economics-behind-apple-buy-now-pay-later-system-bnpl,The ugly economics behind Apple’s new Pay Later system,Emma Roth,2023-03-29
56,https://www.theverge.com/23654936/aqara-g4-video-doorbell-review,Aqara Video Doorbell G4 review: this battery-powered buzzer needs to go back to basics,Jennifer Pattison Tuohy,2023-03-27
57,https://www.theverge.com/23656561/sonos-era-100-speaker-review-features,Sonos Era 100 review: the new default smart speaker,Chris Welch,2023-03-27
58,https://www.theverge.com/23657335/sonos-era-300-review-spatial-audio-atmos-speaker,Sonos Era 300 review: too ahead of its time,Chris Welch,2023-03-27
59,https://www.theverge.com/23652417/amazfit-band-7-review-budget-fitness-tracker,Amazfit Band 7 review: where did all the budget trackers go?,Victoria Song,2023-03-25
60,https://www.theverge.com/23652493/tesla-wireless-charging-platform-qi-airpower-features-specs-price,Tesla’s Wireless Charging Platform does what AirPower couldn’t,Antonio G. Di Benedetto,2023-03-23
61,https://www.theverge.com/2023/3/27/23658352/ev-battery-deep-sea-mining,The race for more battery materials could cause ‘irreversible’ damage under the sea,Justine Calma,2023-03-27
62,https://www.theverge.com/2023/3/24/23654817/energy-efficiency-standards-doe-window-ac-air-purifier,Window AC units and air purifiers in the US are about to get more energy-efficient,Justine Calma,2023-03-24
63,https://www.theverge.com/2023/3/23/23653317/wind-energy-recovery-inflation-tax-subsidies,Wind energy is recovering from a 2022 slump,Justine Calma,2023-03-23
