id,url,headline,author,date
0,https://www.theverge.com/2023/3/30/23664044/e3-cancelled-isnt-coming-back,E3 isnt coming back,Jay Peters,2023-03-31
1,https://www.theverge.com/2023/3/30/23660652/asus-rog-flow-z13-acronym-gaming-laptop-tablet-review,"Yall, this laptop is too much",Monica Chin,2023-03-31
2,https://www.theverge.com/2023/3/30/23663997/block-hindenburg-fraud-statement,"Block knows you have questions, and it doesnt have good answers",Elizabeth Lopatto,2023-03-30
3,https://www.theverge.com/2023/3/30/23612467/framework-laptop-16-battery-parts-games,The Framework Laptop 16 is trying to bring back snap-on removable batteries,Sean Hollister,2023-03-30
4,https://www.theverge.com/2023/3/30/23663202/carbon-capture-electricity-gas-coal-power-plants-climate-change,Carbon capture will probably make electricity more expensive,Justine Calma,2023-03-30
5,https://www.theverge.com/2023/3/30/23662130/arc-mobile-browser-hands-on-ios,Arcs mobile browser is here  and its not really a web browser at all,David Pierce,2023-03-30
6,https://www.theverge.com/2023/3/31/23664383/not-the-buttons,Not the buttons!,Jon Porter,2023-03-31
7,https://www.theverge.com/2023/3/30/23664139/even-after-twitter-dropped-sms-2fa-someone-still-tried-to-hack-my-account-via-text,"Even after Twitter dropped SMS 2FA, someone still tried to hack my account via text.",Richard Lawler,2023-03-31
8,https://www.theverge.com/2023/3/30/23664026/youve-got-less-than-24-hours-to-vote-for-the-next-fan-designed-lego-sets,Youve got less than 24 hours to vote for the next fan-designed Lego sets.,Sean Hollister,2023-03-30
9,https://www.theverge.com/2023/3/30/23663989/summer-gaming-events-2023-e3-canceled-news-announcements,"Summer gaming events 2023: with E3 cancelled, heres whats next",Jay Peters,2023-03-30
10,https://www.theverge.com/23663889/e3-summer-gaming-events-2023-game-fest-xbox-starfield-ubisoft,"E3 might be gone, but this summer still has some big gaming events to watch",Jay Peters,2023-03-30
11,https://www.theverge.com/2023/3/30/23663862/e3-2023-cancelled-esa-reedpop,"I never went to E3, but Ill miss it anyways",Ash Parrish,2023-03-30
12,https://www.theverge.com/2023/3/30/23663618/ford-f-150-lightning-price-hike-original-price,The F-150 Lightning now starts at $20K more than when it was announced,Mitchell Clark,2023-03-30
